recording_id,action,label_source,notes
1,pour,ACM-S2_README,medium_glass_is_pouring
2,pour,ACM-S2_README,medium_glass_is_pouring
3,pour,ACM-S2_README,medium_glass_is_pouring
4,pour,ACM-S2_README,medium_glass_is_pouring
5,pour,ACM-S2_README,medium_glass_is_pouring
6,pour,ACM-S2_README,small_plastic_cup_is_pouring
7,pour,ACM-S2_README,small_plastic_cup_is_pouring
8,pour,ACM-S2_README,tall_glass_is_pouring
9,pour,ACM-S2_README,tall_glass_is_pouring
10,pour,ACM-S2_README,small_plastic_cup_is_pouring
11,shake,ACM-S2_README,muesli_box_shaking
12,pour,ACM-S2_README,medium_glass_is_pouring
13,pour,ACM-S2_README,tall_glass_is_pouring
14,pour,ACM-S2_README,tall_glass_is_pouring
15,pour,ACM-S2_README,tall_glass_is_pouring
16,pour,ACM-S2_README,small_plastic_cup_is_pouring
17,shake,ACM-S2_README,muesli_box_shaking
18,pour,ACM-S2_README,medium_glass_is_pouring
19,pour,ACM-S2_README,medium_glass_is_pouring
20,pour,ACM-S2_README,medium_glass_is_pouring
21,pour,ACM-S2_README,small_plastic_cup_is_pouring
